provincename,Longitude,Latitude,Region.Name,Date/Time,production_in_division_X22.Utilities,production_in_division_X23.Construction,production_in_division_X31.33.Manufacturing,production_in_division_X48.49.Transportation.and.warehousing,production_in_division_X61.Educational.services,production_in_division_X62.Health.care.and.social.assistance,production_in_division_X72.Accommodation.and.food.services,production_in_division_X81.Other.services..except.public.administration.,production_in_division_X91.Public.administration,production_in_division_X11.Agriculture.forestry.fishing.hunting.21.Mining.quarrying.and.oil.and.gas.extraction,production_in_division_X41.Wholesale.trade.44.45.Retail.trade,production_in_division_X52.Finance.and.insurance.53.Real.estate.and.rental.and.leasing,production_in_division_X54.Professional..scientific.and.technical.services.55.56,production_in_division_X51.Information.culture.and.recreation.71,Population,GeoUID,Station Name,Climate ID,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow Grnd Last Day (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
Ontario,-77.88,45.07,Faraday (TP),1999-07-01,2.3255659447862653,5.607883483281221,4.041010304659468,0.8969294565813656,1.2933396188302877,3.827180279745383,1.7370533747771144,0.349260861020642,2.803590324545183,0.941200766553796,5.092866803927996,1.82919071310924,3.11970648923811,0.0,1401.0,3512058,BANCROFT AUTO,616I001,27.1,12.0,19.6,32.7,3.8,0.0,0.0,149.2,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1999-08-01,2.196390424763736,5.581479189392079,4.290479788463086,0.9046309500784456,1.28314633735253,3.836705929415778,1.7114507368452776,0.3600514327626253,2.708057687386488,0.9363331866639674,5.23134625469541,1.803396284625214,3.1679719422154182,0.0,1401.0,3512058,BANCROFT AUTO,616I001,23.3,8.1,15.7,29.8,0.7,0.0,0.0,87.4,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1999-09-01,2.4767587902793693,5.67673439512223,4.365180055237773,0.918006935232581,1.340246630020107,3.753340127193961,1.7612253805957865,0.3622860463945542,2.8037566094451445,0.827825962254864,5.287160362195774,1.799491762962725,3.2244941434362167,0.0,1401.0,3512058,BANCROFT AUTO,616I001,21.6,6.6,14.1,32.5,-4.3,0.0,0.0,271.8,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1999-10-01,2.391343515352913,5.737149595651747,4.281875600538443,0.8915940668714756,1.3457786749089091,3.792066259299255,1.729200667784848,0.3659124556372569,2.806067822723309,0.8556389446660957,5.221428465781419,1.798639629278584,3.158288648806013,0.0,1401.0,3512058,BANCROFT AUTO,616I001,12.5,-1.2,5.7,21.3,-7.5,0.0,0.0,44.6,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1999-11-01,2.2934003959025464,5.857524339496637,4.402312975779384,0.9211559987956408,1.394640234988317,3.858322919770948,1.792284595065534,0.3749813869390334,2.910811051951197,0.8536849362030038,5.361229912596818,1.845548973777401,3.304235994187054,0.0,1401.0,3512058,BANCROFT AUTO,616I001,7.0,-1.9,2.6,18.9,-16.6,0.0,0.0,41.9,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1999-12-01,2.166468547146035,5.954248170192977,4.47261888798485,0.9263785841454608,1.337307402325035,3.869144703239373,1.7741786933217596,0.3728572472010616,2.837111568861284,0.869473369841216,5.379395793354147,1.8212253394838087,3.325599025204833,0.0,1401.0,3512058,BANCROFT AUTO,616I001,-0.3,-11.9,-6.1,11.4,-31.5,0.0,0.0,69.5,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2000-01-01,2.405717782223645,5.992459803675262,4.364307657611481,0.8953079408535416,1.3523119843898197,3.8351348028112375,1.8262077189487296,0.3639941335242626,2.871520956234335,1.0418447575950949,5.421481503578788,1.823050755154204,3.3869330618658227,0.0,1401.0,3512058,BANCROFT AUTO,616I001,-4.1,-17.1,-10.7,9.1,-29.3,0.0,0.0,42.2,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2000-02-01,2.530215138308926,6.024125653388443,4.347897136141064,0.945237233571012,1.3294348346933875,3.9647318655042247,1.7695674161943662,0.3640326538080191,2.8825729305242427,0.96418695127111,5.412034182828768,1.872500100609233,3.385301979774705,0.0,1401.0,3512058,BANCROFT AUTO,616I001,-0.7,-16.8,-8.8,10.3,-32.1,0.0,0.0,44.8,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2000-03-01,2.3159126966711168,5.993015321072332,4.5096442886576495,0.9299293046953336,1.2163539452102616,3.9226171645641714,1.8157649920629224,0.3583446495297701,2.8560767977607204,0.9989021620387266,5.488115872524303,1.9072239188871136,3.394896144913024,0.0,1401.0,3512058,BANCROFT AUTO,616I001,7.4,-6.3,0.6,20.8,-16.9,0.0,0.0,37.5,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2000-04-01,2.341760172740576,5.961710106347928,4.49832605470849,0.9291686910174188,1.3119351900593466,3.919679217019075,1.8412516729120325,0.3526695340526191,2.901556418520753,1.0361468595567855,5.457419437017074,1.8423077577761184,3.45849734419608,0.0,1401.0,3512058,BANCROFT AUTO,616I001,9.5,-3.3,3.1,21.4,-12.9,0.0,0.0,103.8,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2000-05-01,2.441607135068495,5.762687989252199,4.582935896310933,0.92895601925099,1.3477789929720387,3.997799454938495,1.847460251397314,0.3568643734544148,2.913863919084136,0.9059042229591764,5.518076569955652,1.867382652575839,3.5270172360179366,0.0,1401.0,3512058,BANCROFT AUTO,616I001,18.3,4.0,11.2,28.6,-5.5,0.0,0.0,158.0,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2000-06-01,2.188885228835426,5.676075755337052,4.603994580516133,0.9404259114508192,1.3906821909239009,3.9192259414142847,1.8233207872454844,0.3651572501694585,2.9408167575368664,0.947311016690924,5.592247221496084,1.9007794247027647,3.5048031750026425,0.0,1401.0,3512058,BANCROFT AUTO,616I001,21.1,8.0,14.6,28.8,-1.7,0.0,0.0,235.4,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2000-07-01,2.1948089421083137,5.460529721331341,4.422975252055954,0.9335646157148731,1.33890944678454,3.897214610650808,1.8064578924081145,0.3608158691139375,2.9122916667593253,0.9172445926968936,5.650340544816357,1.9775060237722817,3.557770574455274,0.0,1401.0,3512058,BANCROFT AUTO,616I001,23.4,9.7,16.5,27.6,3.3,0.0,0.0,148.4,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2000-08-01,2.178372931899301,5.737829815832212,4.682043671452642,0.9826177832893618,1.2579697392042857,3.816658354092671,1.8109799773890969,0.3777422444940095,3.056387143540502,0.907048030239256,5.720207870692203,1.8677018414380864,3.563849682677795,0.0,1401.0,3512058,BANCROFT AUTO,616I001,23.5,9.2,16.4,28.2,0.6,0.0,0.0,96.6,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2000-09-01,2.3415291940836185,5.639503918768505,4.657644628663494,0.9606658476733362,1.3676703463153317,3.931517095014751,1.834076147692394,0.3770169693892182,2.969525087840826,0.8711040721617614,5.701858572821254,1.9173827962684904,3.5821149469990226,0.0,1401.0,3512058,BANCROFT AUTO,616I001,18.5,4.8,11.6,30.0,-5.7,0.0,0.0,184.0,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2000-10-01,2.356743949442007,5.846748471688696,4.78955259348364,0.963839650115791,1.3875320756732163,3.974734101299793,1.8389295368674945,0.3771016244997046,2.95056087901654,0.8786827322818289,5.866761407327732,1.927941546840236,3.6221575376933175,0.0,1401.0,3512058,BANCROFT AUTO,616I001,14.6,0.1,7.3,22.4,-9.0,0.0,0.0,12.4,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2000-11-01,2.308238284854184,5.618206122690825,4.648477350697863,0.9441888268770848,1.286754102660227,3.96334667934347,1.7614577452546936,0.3664487538036837,2.867650320069364,0.9675135674196994,5.624939284949632,1.8534213140447715,3.471988935449685,0.0,1401.0,3512058,BANCROFT AUTO,616I001,9.3,-3.1,3.1,17.6,-10.5,0.0,0.0,39.5,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2000-12-01,2.353487392020388,5.486751447563584,4.655712855158827,0.929267432701675,1.3255823143463277,4.040830370816978,1.872874665899469,0.390707230044866,2.9320652686295063,0.9555687167758924,5.811800014417458,1.9232554227178176,3.601705418544718,0.0,1401.0,3512058,BANCROFT AUTO,616I001,-6.2,-19.3,-12.8,6.4,-32.3,0.0,0.0,80.2,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2001-01-01,2.1433497618909616,5.620496459526362,4.4994423982782825,0.9706307310286588,1.3805100667525825,3.960736891937408,1.89302738875275,0.3717962755226732,2.9641335996048377,1.0412604035055233,5.780494796565057,1.9772856306108493,3.592534139041084,0.0,1401.0,3512058,BANCROFT AUTO,616I001,-3.6,-17.1,-10.3,2.6,-31.2,0.0,0.0,47.5,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2001-02-01,2.2545515197158426,6.100912324202982,4.447808492137653,0.9372004200553236,1.3965267492443332,3.9660060873904737,1.8565930234321184,0.3810017793548905,2.8526699841356566,1.0241370424015022,5.657974582389114,1.964966982269352,3.621791655184384,0.0,1401.0,3512058,BANCROFT AUTO,616I001,-2.2,-16.9,-9.6,8.2,-27.8,0.0,0.0,85.8,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2001-03-01,2.032169734293296,6.091389797548199,4.376014577435888,0.8998706954064609,1.2824294348690497,3.99880489903923,1.8620442398912893,0.3823139190789804,2.750861680429696,1.0068966351922606,5.688048460926784,1.9194021900023104,3.6061198057563297,0.0,1401.0,3512058,BANCROFT AUTO,616I001,1.8,-11.7,-5.0,8.6,-25.2,0.0,0.0,28.2,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2001-04-01,2.34893483167792,6.389611276722184,4.472769716476041,0.9773476582310467,1.3792624897244206,4.147850645064089,1.83234272232104,0.3748587952238069,2.935833170946333,1.0286280079632824,5.809515722196417,1.9672613105343544,3.742645123447677,0.0,1401.0,3512058,BANCROFT AUTO,616I001,13.4,-2.6,5.4,25.8,-10.1,0.0,0.0,23.1,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2001-05-01,2.373500823737776,6.402299147575661,4.439480340675831,0.964999912625322,1.3686806425411473,4.039256187859033,1.7727712150877826,0.3838066788233171,3.010237912262732,1.0200291496248852,5.718991169346817,1.97284729110392,3.630651584474304,0.0,1401.0,3512058,BANCROFT AUTO,616I001,19.3,3.7,11.5,28.4,-4.3,0.0,0.0,59.0,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2001-06-01,2.325215908178942,6.138156641828188,4.368908225846121,0.9865503594149092,1.381543208922825,3.999787909673344,1.778798672904648,0.3865238649488586,2.971946337116904,0.9754505733325078,5.81843747427329,1.9527144219308985,3.5718116047085307,0.0,1401.0,3512058,BANCROFT AUTO,616I001,24.1,8.8,16.5,31.6,-1.1,0.0,0.0,70.8,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2001-07-01,2.2730159008088444,6.704314345748885,4.621613797725663,0.9758763633854384,1.3179409366594943,4.074069651496944,1.7975050264050831,0.4002323646479997,3.002686236817029,0.93122357187384,5.902047189410886,2.041293522542534,3.6730350357949297,0.0,1401.0,3512058,BANCROFT AUTO,616I001,25.8,9.3,17.6,32.6,1.4,0.0,0.0,11.2,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2001-08-01,2.277429085630329,6.365200513805773,4.297554667993136,0.947741661019018,1.204778224655784,3.887881915348706,1.7984184241188177,0.3871930064399963,3.1449572684058,0.8417218216287277,5.796126125896243,2.020173432673712,3.589057202335708,0.0,1401.0,3512058,BANCROFT AUTO,616I001,26.7,10.1,18.4,34.0,2.3,0.0,0.0,70.2,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2001-09-01,2.246076049520481,6.45722295788832,4.219691624473137,0.9625402421858684,1.314171186162443,4.031582602203839,1.733470431018062,0.3873904699290649,3.0552753909532653,0.8982388630782914,5.759646613377331,2.0193165100023456,3.4758583579723283,0.0,1401.0,3512058,BANCROFT AUTO,616I001,19.8,5.6,12.7,30.6,-1.7,0.0,0.0,78.8,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2001-10-01,2.504399711974503,6.28389943857685,4.2602413185118255,0.9641196313798422,1.3132443938155145,4.046225651156028,1.7938639041616604,0.3826626749540773,3.057899896968477,0.8687038123221406,5.79016699721201,2.080993319143864,3.434037418207187,0.0,1401.0,3512058,BANCROFT AUTO,616I001,12.7,1.9,7.3,24.2,-6.4,0.0,0.0,119.2,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2001-11-01,2.357949030952833,6.163396704799445,4.1543957473768325,0.9578018910494884,1.2698956890863964,3.898079951683535,1.8523559015950497,0.3762758018864924,3.0545225621485192,0.8748499151617286,5.621810501773437,2.020651659270874,3.4541551540734217,0.0,1401.0,3512058,BANCROFT AUTO,616I001,8.0,-2.1,3.0,16.4,-8.6,0.0,0.0,83.0,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2001-12-01,2.327717483670438,6.570572974607073,4.208679517304438,0.98213461441625,1.35596857821614,3.963953706015479,1.8760251397372585,0.3961569779674256,3.1909748362468293,0.8920837251573415,5.838882147624398,2.036169734751992,3.543207017666802,0.0,1401.0,3512058,BANCROFT AUTO,616I001,1.9,-7.2,-2.7,14.2,-18.6,0.0,0.0,71.5,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2002-01-01,2.345103236600519,6.699909439977643,4.436249871794174,0.914445504160261,1.3512524110530784,4.065240653679856,1.7984695226520018,0.3956230832385705,3.13417066075391,0.8996358570891155,6.128558237420403,2.0225165454302307,3.600392691140386,0.0,1401.0,3512058,BANCROFT AUTO,616I001,-0.3,-11.0,-5.7,9.1,-22.9,0.0,0.0,30.7,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2002-02-01,2.3498071625165697,6.719550043460304,4.517566535073457,0.9043489101657908,1.3959557643687013,4.089214474831398,1.7981658312952868,0.3863558500394878,3.1330145793087825,0.88904435414889,6.067611997484595,2.037306720093548,3.6658715869881786,0.0,1401.0,3512058,BANCROFT AUTO,616I001,0.2,-13.7,-6.8,10.8,-26.6,0.0,0.0,61.5,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2002-03-01,2.24845638619592,6.721151690093125,4.444123724456154,0.9321849815117044,1.354773934744217,4.007030866514015,1.8079289249571675,0.3769508682721791,2.94954733974224,0.8698804988136806,5.974437489324121,2.031018945048757,3.723543180936436,0.0,1401.0,3512058,BANCROFT AUTO,616I001,2.3,-10.7,-4.2,14.4,-28.0,0.0,0.0,95.2,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2002-04-01,2.446211892761676,6.628193675562243,4.538345835763198,0.9488486468467012,1.3135117480117562,4.080751447254831,1.8491164369483248,0.4069112196781199,2.8949674250227897,0.8929290676458738,5.985514236681132,2.012979461280486,3.701656978741592,0.0,1401.0,3512058,BANCROFT AUTO,616I001,10.3,-1.4,4.4,29.9,-13.6,0.0,0.0,90.2,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2002-05-01,2.4597484515800234,6.31820442902891,4.607520239821214,0.9540116851423724,1.3481470417314343,4.111660071798322,1.8491006240666057,0.389728097567706,3.120575928301629,0.8607161606025768,5.957976743806108,2.013747681050754,3.6313523630078985,0.0,1401.0,3512058,BANCROFT AUTO,616I001,15.3,2.5,8.9,27.0,-4.3,0.0,0.0,104.6,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2002-06-01,2.5486613824618125,6.400412737786647,4.475910073844762,0.9507289720879056,1.3530499201274502,4.141461101478396,1.870644909102752,0.3988540545369399,3.155284462005571,0.9280179316267804,6.036464055958639,2.0689409118421347,3.5797444420260325,0.0,1401.0,3512058,BANCROFT AUTO,616I001,22.8,9.0,15.9,29.8,-1.0,0.0,0.0,179.6,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2002-07-01,2.39028469870094,6.913172276644265,4.847847759421936,0.9321065154308232,1.378124930062655,4.015564572091372,1.8955974427381297,0.3998846206283034,3.22363470686052,0.9254393043942128,6.080141999669992,2.0608781442573654,3.575438886950185,0.0,1401.0,3512058,BANCROFT AUTO,616I001,26.6,11.3,19.0,32.5,3.0,0.0,0.0,35.0,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2002-08-01,2.4411246875137684,6.289783220260823,4.565048006102364,0.9764948124064828,1.343117211385953,4.085618253360418,1.895817345822406,0.3983683993159205,3.213631509477997,1.0275183029580215,6.145366664470112,2.0815767123461786,3.68268226759282,0.0,1401.0,3512058,BANCROFT AUTO,616I001,25.5,9.4,17.5,31.5,1.5,0.0,0.0,44.0,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2002-09-01,2.3343693887972483,6.464145172800704,4.480060435667673,0.9582009947748226,1.360208635198892,4.087046254713344,1.9538858371831465,0.3988375678198486,3.1912625823498755,0.9400904092583406,6.111495985805278,2.075854150386456,3.71577092348786,0.0,1401.0,3512058,BANCROFT AUTO,616I001,23.0,6.4,14.7,33.0,-0.2,0.0,0.0,73.4,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2002-10-01,2.346006036232832,6.524959709546189,4.543029363553346,0.9832703678910272,1.3906220907103948,4.154189120854208,1.9542551675989204,0.3984121573310102,3.194514181527081,0.960726042679058,6.077608025301847,2.05999817048919,3.7908608551414207,0.0,1401.0,3512058,BANCROFT AUTO,616I001,10.1,-1.2,4.4,25.3,-10.5,0.0,0.0,85.3,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2002-11-01,2.2851812881784133,6.843160502363785,4.502639689243482,0.9824570433669308,1.3910638276042422,4.197638301257857,1.9961606462734551,0.4082160939823979,3.1028190459123746,0.9055991894041971,6.200285377854541,2.104924442692212,3.773527285471769,0.0,1401.0,3512058,BANCROFT AUTO,616I001,3.0,-5.7,-1.4,15.0,-18.6,0.0,0.0,75.2,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),2002-12-01,2.3785153045914127,6.6874450141308674,4.339909358960086,0.9504962159461094,1.4077782212652112,4.167793947485437,2.0042588425179337,0.4064008172969388,3.1642100305931726,0.8926475071327987,6.0998632507740425,2.0891392495294627,3.7573133622977593,0.0,1401.0,3512058,BANCROFT AUTO,616I001,-1.4,-12.8,-7.1,5.6,-28.8,0.0,0.0,20.2,0.0,0.0,0.0
