provincename,Station Name,Climate ID
Quebec,CAP DES ROSIERS,7051055
Quebec,RIVIERE AU TONNERRE,704FEG0
Quebec,LES BUISSONS,7044288
Quebec,WRIGHT,7038975
Quebec,ST JEROME,7037400
Quebec,ST HIPPOLYTE,7037310
Quebec,STE ANNE DU LAC,7036855
Quebec,NOTRE DAME DE LA PAIX,7035666
Quebec,MANIWAKI AIRPORT,7034482
Quebec,LUSKVILLE,7034365
Quebec,LA MACAZA,7033939
Quebec,LACHUTE,7033650
Quebec,CHENEVILLE,7031375
Quebec,CHELSEA,7031360
Quebec,CHARTERIS,7031315
Quebec,ARUNDEL,7030310
Quebec,ANGERS,7030170
Quebec,VERCHERES,7028700
Quebec,THETFORD MINES,7028441
Quebec,SUTTON,7028292
Quebec,SOREL,7028200
Quebec,SCOTT,7027840
Quebec,SAWYERVILLE NORD,7027802
Quebec,ST SEVERIN,7027733
Quebec,ST PROSPER,7027660
Quebec,ST PIERRE DE BROUGHTON,7027656
Quebec,STE MARTINE,7027540
Quebec,ST MALO D AUCKLAND,7027520
Quebec,ST LUDGER,7027516
Quebec,ST HYACINTHE 2,7027361
Quebec,ST GEORGES,7027283
Quebec,ST EPHREM,7027200
Quebec,ST COME DE LINIERE,7027083
Quebec,ST BERNARD DE LACOLLE,7026916
Quebec,ST ANICET,7026836
Quebec,RIVIERE DES PRAIRIES,7026612
Quebec,RICHMOND,7026465
Quebec,PIERREVILLE,7026043
Quebec,ORMSTOWN,7025745
Quebec,MARIEVILLE,7024627
Quebec,MAGOG,7024440
Quebec,LINGWICK,7024320
Quebec,LAUZON,7024254
Quebec,LAURIERVILLE,7024250
Quebec,LAPRAIRIE,7024100
Quebec,LAC MEGANTIC 2,7023677
Quebec,HEMMINGFORD FOUR WINDS,7023075
Quebec,GRANBY,7022800
Quebec,FORTIERVILLE,7022494
Quebec,FLEURY,7022375
Quebec,FARNHAM,7022320
Quebec,DRUMMONDVILLE,7022160
Quebec,DANVILLE,7021954
Quebec,COATICOOK,7021840
Quebec,BROMPTONVILLE,7020860
Quebec,BONSECOURS,7020828
Quebec,ARTHABASKA,7020305
Quebec,QUEBEC/JEAN LESAGE INTL,701S001
Quebec,LAC AUX SABLES,701LEEH
Quebec,TROIS-RIVIERES,7018562
Quebec,ST NARCISSE,7017585
Quebec,STE CHRISTINE,7017000
Quebec,ST CHARLES DE MANDEVILLE,7016960
Quebec,STE BEATRIX,7016902
Quebec,STE ANNE DE LA PERADE,7016840
Quebec,ST ALEXIS DES MONTS,7016816
Quebec,ST ALBAN,7016800
Quebec,RIVIERE VERTE OUEST,7016675
Quebec,RIGAUD,7016470
Quebec,L'ETAPE,7015791
Quebec,OKA,7015730
Quebec,LOUISEVILLE,7014332
Quebec,DESCHAMBAULT,7011982
Quebec,COTEAU DU LAC,7011947
Ontario,BANCROFT AUTO,616I001
Ontario,HALIBURTON 3,6163171
Ontario,TORONTO NORTH YORK,615S001
Ontario,TRENTON A,6158875
Ontario,OSHAWA WPCP,6155878
Ontario,HAMILTON RBG CS,6153301
Ontario,GEORGETOWN WWTP,6152695
Ontario,COBOURG STP,6151689
Ontario,CENTREVILLE,6151309
Ontario,BELLEVILLE,6150689
Ontario,WOODSTOCK,6149625
Ontario,STRATHROY-MULLIFARRY,6148122
Ontario,ROSEVILLE,6147188
Ontario,MOUNT FOREST (AUT),6145504
Ontario,LONDON CS,6144478
Ontario,GLEN ALLAN,6142803
Ontario,FERGUS MOE,6142402
Ontario,FERGUS SHAND DAM,6142400
Ontario,PORT COLBORNE (AUT),613F606
Ontario,WINDSOR RIVERSIDE,6139520
Ontario,TILLSONBURG WWTP,6138270
Ontario,ST THOMAS WPCP,6137362
Ontario,RIDGEVILLE,6137161
Ontario,PORT COLBORNE,6136606
Ontario,NEW GLASGOW,6135583
Ontario,KINGSVILLE MOE,6134190
Ontario,FORT ERIE,6132470
Ontario,DELHI CS,6131983
Ontario,AMHERSTBURG,6130257
Ontario,GODERICH,6122847
Ontario,UDORA,6119055
Ontario,SHANTY BAY,6117684
Ontario,ORILLIA BRAIN,6115811
Ontario,LAGOON CITY,6114295
Ontario,COLLINGWOOD,6111792
Ontario,COLDWATER WARMINSTER,6111769
Ontario,PETAWAWA HOFFMAN,610FC98
Ontario,ST. ALBERT,6107276
Ontario,OTTAWA CDA,6105976
Ontario,OMPAH-SEITZ,6105762
Ontario,KEMPTVILLE CS,6104027
Ontario,HARTINGTON IHD,6103367
Ontario,GRENADIER ISLAND,6103024
Ontario,DRUMMOND CENTRE,6102J13
Ontario,CORNWALL,6101874
Ontario,CHALK RIVER AECL,6101335
Ontario,BROCKVILLE PCC,6100971
Ontario,APPLETON,6100285
Ontario,NAGAGAMI (AUT),6075543
Ontario,MOOSONEE UA,6075425
Ontario,KIRKLAND LAKE CS,6074211
Ontario,BONNER LAKE,6070QK6
Ontario,MASSEY,6065006
Ontario,UPSALA (AUT),6049095
Ontario,RAWSON LAKE,6036904
Ontario,ATIKOKAN (AUT),6020LPQ
Ontario,BARWICK,6020559
Ontario,PICKLE LAKE (AUT),6016525
Ontario,PEAWANUCK (AUT),6016295
Ontario,LANSDOWNE HOUSE (AUT),6014353
Manitoba,FLIN FLON,5050919
Manitoba,SWAN RIVER RCS,504K80K
Manitoba,OAKPOINT MARINE,504K0NM
Manitoba,MCCREARY,5043158
Manitoba,MAFEKING,5041685
Manitoba,COWAN,5040FJ3
Manitoba,DAUPHIN CS,5040681
Manitoba,BEAVER,5040166
Manitoba,PINAWA,503B1ER
Manitoba,VICTORIA BEACH (AUT),5032951
Manitoba,RENNIE,5032360
Manitoba,GRAND RAPIDS (AUT),5031A10
Manitoba,INDIAN BAY,5031320
Manitoba,FISHER BRANCH (AUT),50309J6
Manitoba,GEORGE ISLAND (AUT),5030984
Manitoba,BERENS RIVER CS,5030203
Manitoba,WINNIPEG A CS,5020
Manitoba,CARMAN U OF M CS,502I001
Manitoba,STONY MOUNTAIN,5022791
Manitoba,SPRAGUE,5022759
Manitoba,SCHANZENFELD,5022623
Manitoba,ST LABRE,5022575
Manitoba,PILOT MOUND (AUT),5022125
Manitoba,OAKBANK,5022051
Manitoba,MARQUETTE,5021695
Manitoba,HOLLAND,5021302
Manitoba,GRETNA (AUT),5021220
Manitoba,ROSSBURN 4 NORTH,501KE01
Manitoba,RIVERS PETTAPIECE,501BMMA
Manitoba,ROBLIN FRIESEN 3 NORTHWEST,501B4G2
Manitoba,MELITA,501A7AR
Manitoba,WASAGAMING,5013117
Manitoba,SHOAL LAKE CS,5012654
Manitoba,ROBLIN,5012469
Manitoba,PORTAGE SOUTHPORT,5012324
Manitoba,PORTAGE LA PRAIRIE CDA,5012321
Manitoba,ELKHORN 2 EAST,5010QFQ
Manitoba,CARBERRY CS,5010547
Manitoba,BALDUR,5010140
Saskatchewan,NIPAWIN,407N51G
Saskatchewan,URANIUM CITY (AUT),406QLD0
Saskatchewan,MEADOW LAKE,406N0NM
Saskatchewan,WASKESIU LAKE,4068559
Saskatchewan,SPIRITWOOD WEST,4067723
Saskatchewan,SOUTHEND,4067655
Saskatchewan,COLLINS BAY CAMECO,4061632
Saskatchewan,CIGAR LAKE,4061570
Saskatchewan,BUFFALO NARROWS (AUT),4060983
Saskatchewan,OUTLOOK PFRA,4055736
Saskatchewan,MELFORT,4055079
Saskatchewan,HOEY,4053264
Saskatchewan,SONNINGDALE,4047644
Saskatchewan,SCOTT CDA,4047240
Saskatchewan,ROSETOWN EAST,4046884
Saskatchewan,BUTTE ST PIERRE,4041000
Saskatchewan,VAL MARIE SOUTHEAST,4038412
Saskatchewan,ROCKGLEN (AUT),4036844
Saskatchewan,MANKOTA,4034910
Saskatchewan,EASTEND CYPRESS (AUT),4032322
Saskatchewan,CYPRESS HILLS PARK,4031999
Saskatchewan,CORONACH SPC,40318MN
Saskatchewan,LEADER AIRPORT,402DAF0
Saskatchewan,SWIFT CURRENT CDA,4028060
Saskatchewan,STEWART VALLEY,4027775
Saskatchewan,ROCK POINT,4026847
Saskatchewan,MAPLE CREEK,4024919
Saskatchewan,LUCKY LAKE,4024714
Saskatchewan,ELBOW CS,4022359
Saskatchewan,BEECHY,4020560
Saskatchewan,ASSINIBOIA AIRPORT,4020286
Saskatchewan,WEYBURN,401HP5R
Saskatchewan,WYNYARD (AUT),40190LN
Saskatchewan,WATROUS EAST,4018642
Saskatchewan,REGINA RCS,4016699
Saskatchewan,QU'APPELLE 1,4016322
Saskatchewan,PARKERVIEW,4015870
Saskatchewan,OXBOW,4015800
Saskatchewan,MUENSTER,4015440
Saskatchewan,MOOSE JAW CS,4015322
Saskatchewan,MOOSE JAW A,4015320
Saskatchewan,LIPTON 2,4014481
Saskatchewan,LEROY,4014322
Saskatchewan,LAST MOUNTAIN CS,4014156
Saskatchewan,KIPLING,4014040
Saskatchewan,KELLIHER,4013660
Saskatchewan,INDIAN HEAD CDA,4013480
Saskatchewan,DUVAL,4012300
Saskatchewan,BUFFALO POUND LAKE,4010984
Saskatchewan,BROADVIEW,4010879
Alberta,COLD LAKE A,3081680
Alberta,GARDEN RIVER,307KPFP
Alberta,SIMONETTE,3075937
Alberta,RED EARTH,3075488
Alberta,PEORIA AGDM,3075160
Alberta,CLEARDALE AGDM,3074935
Alberta,HIGH LEVEL A,3073146
Alberta,FAIRVIEW AGDM,3072525
Alberta,EGG ISLAND,3072246
Alberta,WILLOW CREEK 1,306GE70
Alberta,RICH LAKE AGDM,3065475
Alberta,MILDRED LAKE,3064528
Alberta,HENDRICKSON CREEK,3063135
Alberta,FORT MCMURRAY CS,3062696
Alberta,ENTWISTLE,3062451
Alberta,EDSON CLIMATE,3062246
Alberta,ATHABASCA 1,3060L20
Alberta,BRULE BLACK CAT,3060903
Alberta,ATMORE AGDM,3060406
Alberta,NAKISKA RIDGETOP,305MGFF
Alberta,WATERTON PARK GATE,3056214
Alberta,KANANASKIS,3053600
Alberta,JASPER WARDEN,3053536
Alberta,CROWSNEST,3051R4R
Alberta,BOW VALLEY,3050778
Alberta,BANFF CS,3050519
Alberta,ONEFOUR CDA,3044923
Alberta,MILK RIVER,3044533
Alberta,DEL BONITA AGDM,3042045
Alberta,PICTURE BUTTE WEST,303N1G3
Alberta,OKOTOKS,303M9JM
Alberta,VAUXHALL CDA CS,3036682
Alberta,TABER,3036360
Alberta,STAVELY AAFC,3036099
Alberta,QUEENSTOWN,3035340
Alberta,PINCHER CREEK CLIMATE,3035208
Alberta,LETHBRIDGE CDA,3033890
Alberta,COP UPPER,3031875
Alberta,CLARESHOLM,3031640
Alberta,CHAMPION AGDM,3031480
Alberta,CARDSTON,3031322
Alberta,BROOKS,3030QLP
Alberta,BOW ISLAND,3030768
Alberta,SUNDRE A,3026KNQ
Alberta,THREE HILLS,3026479
Alberta,MORRIN AGDM,3024668
Alberta,LACOMBE CDA 2,3023722
Alberta,DRUMHELLER EAST,30221LG
Alberta,WAINWRIGHT CFB AIRFIELD 21,301S001
Alberta,ESTHER 1,301B460
Alberta,EDMONTON STONY PLAIN CS,301A001
Alberta,VEGREVILLE,3016GF0
Alberta,VERMILION AGDM,3016802
Alberta,UNCAS,3016650
Alberta,SMOKY LAKE AGDM,3016022
Alberta,ROCKY MTN HOUSE (AUT),3015523
Alberta,MONITOR,3014600
Alberta,LLOYDMINSTER A,3013961
Alberta,FORT SASKATCHEWAN,3012710
Alberta,FABYAN,3012515
Alberta,ELK ISLAND NAT PARK,3012275
Alberta,EDMONTON STONY PLAIN,301222F
Alberta,EDMONTON BLATCHFORD,3012209
Alberta,CORONATION CLIMATE,3011887
Alberta,CAMROSE,3011240
Alberta,BRETON PLOTS,3010816
Alberta,BRETON,3010815
Alberta,BODO AGDM,3010730
Alberta,ABEE AGDM,3010010
Northwest Territories,MOULD BAY CS,250M001
Northwest Territories,THOMSEN RIVER,2503886
Northwest Territories,SACHS HARBOUR CLIMATE,2503648
Northwest Territories,NANGMAGVIK LAKE,2500440
Nunavut,ROWLEY ISLAND,2403625
Nunavut,REA POINT,2403450
Nunavut,PANGNIRTUNG,2403049
Nunavut,LONGSTAFF BLUFF,2402684
Nunavut,ISACHSEN (AUT),2402604
Nunavut,DEWAR LAKES,2401030
Nunavut,CAPE HOOPER,2400660
Nunavut,BROUGHTON ISLAND,2400570
Nunavut,BREVOORT ISLAND,2400565
Nunavut,ALERT UA,2400306
Northwest Territories,LUPIN CS,230N002
Northwest Territories,CROKER RIVER,230J01Q
Nunavut,SHEPHERD BAY A,2303685
Northwest Territories,ROBERTSON LAKE (AUT),2303610
Nunavut,PELLY BAY,2303093
Nunavut,HAT ISLAND,2302370
Nunavut,ENNADAI LAKE (AUT),2301102
Northwest Territories,LOWER CARP LAKE,220N004
Yukon,STORM HILLS,220LQJJ
Northwest Territories,SAMBAA K'E,220CQHR
Yukon,LITTLE CHICAGO,220B6Q3
Yukon,LIVERPOOL BAY,220B68C
Northwest Territories,YOHIN,2204300
Yukon,TUKTOYAKTUK,2203914
Northwest Territories,GAMETI,2203359
Yukon,RABBIT KETTLE,2203342
Yukon,PELLY ISLAND,2203095
Yukon,PAULATUK,2203058
Northwest Territories,WHATI,2202678
Northwest Territories,INNER WHALEBACKS,2202560
Northwest Territories,HANBURY RIVER,2202351
Northwest Territories,FORT RELIANCE (AUT),2201903
Northwest Territories,FORT PROVIDENCE,2201799
Northwest Territories,FORT LIARD,2201579
Yukon,COLVILLE LAKE,2200824
Northwest Territories,CAPE PARRY A,2200675
Yukon,TESLIN (AUT),2101102
Yukon,DAWSON,2100LRP
Yukon,OTTER FALLS NCPC,2100840
Yukon,OLD CROW RCS,2100805
Yukon,MARGARET LAKE,2100697
Yukon,IVVAVIK NAT. PARK,2100660
Yukon,HERSCHEL ISLAND,2100636
Yukon,HAINES JUNCTION,2100630
Yukon,FARO (AUT),2100518
British Columbia,PLEASANT CAMP,1206197
British Columbia,DEASE LAKE (AUT),119BLM0
British Columbia,CHETWYND A,1181508
Alberta,YOHO PARK,11790J1
British Columbia,MICA DAM,1175122
Alberta,GOLDEN A,1173210
British Columbia,SUN PEAKS UPPER,116QK0M
British Columbia,SUN PEAKS LOWER,116Q20D
British Columbia,SALMON ARM CS,116FRMN
British Columbia,KAMLOOPS PRATT ROAD,116C8P0
British Columbia,VAVENBY,1168520
British Columbia,SUN PEAKS MOUNTAIN,1168204
British Columbia,100 MILE HOUSE 6NE,1165793
British Columbia,BLUE RIVER CS,1160H99
British Columbia,BLUE RIVER A,1160899
British Columbia,SPARWOOD CS,1157631
British Columbia,KOOTENAY NP WEST GATE,1154410
British Columbia,KIMBERLEY PCC,1154203
British Columbia,FT STEELE DANDY CRK,1153034
British Columbia,FERNIE,1152850
British Columbia,NELSON RIXEN CREEK,114EMDM
British Columbia,CRESTON CAMPBELL SCIENTIFIC,114B1F0
British Columbia,NELSON CS,1145M29
British Columbia,NEW DENVER,1145460
British Columbia,NELSON NE,1145442
British Columbia,NAKUSP CS,1145297
British Columbia,DUNCAN LAKE DAM,1142574
British Columbia,CASTLEGAR BCHPA DAM,1141457
British Columbia,CASTLEGAR A,1141455
British Columbia,BILLINGS,1140876
British Columbia,MIDWAY,1135126
British Columbia,SUMMERLAND CS,112G8L1
British Columbia,PRINCETON CS,112FN0M
British Columbia,VERNON SILVER STAR LODGE,1128584
British Columbia,PRINCETON A,1126510
British Columbia,PEACHLAND,1126070
British Columbia,OSOYOOS CS,1125852
British Columbia,OLIVER STP,1125766
British Columbia,OKANAGAN CENTRE,1125700
British Columbia,JELLICOE,1123721
British Columbia,LILLOOET,1114619
British Columbia,HOPE SLIDE,1113581
British Columbia,WHITE ROCK CAMPBELL SCIENTIFIC,1108910
British Columbia,WHISTLER ROUNDHOUSE,1108906
British Columbia,WEST VANCOUVER AUT,1108824
British Columbia,VANCOUVER HARBOUR CS,1108446
British Columbia,SUMAS CANAL,1107785
British Columbia,RICHMOND NATURE PARK,1106PF7
British Columbia,PORT MOODY GLENAYRE,1106CL2
British Columbia,RICHMOND DALLYN 2,1106764
British Columbia,POINT ATKINSON,1106200
British Columbia,PITT MEADOWS CS,1106178
British Columbia,N VANCOUVER WHARVES,1105669
British Columbia,N VANC GROUSE MTN RESORT,1105658
British Columbia,MISSION WEST ABBEY,1105192
British Columbia,HANEY UBC RF ADMIN,1103332
British Columbia,DELTA TSAWWASSEN BEACH,1102425
British Columbia,CLOVERDALE EAST,1101708
British Columbia,BURNABY SIMON FRASER U,1101158
British Columbia,AGASSIZ CDA,1100120
British Columbia,AGASSIZ RCS,1100119
British Columbia,SPOKIN LAKE 4E,1097646
British Columbia,PRINCE GEORGE STP,1096468
British Columbia,MCLEESE LAKE GRANITE MT,1095018
British Columbia,BURNS LAKE DECKER LAKE,1091174
British Columbia,BARKERVILLE,1090660
British Columbia,PUNTZI MOUNTAIN (AUT),1086558
British Columbia,PEMBERTON AIRPORT CS,1086082
British Columbia,SUSKWA VALLEY,107G879
British Columbia,HOUSTON,1073615
British Columbia,KITIMAT HATCHERY,106D289
British Columbia,TRIPLE ISLAND,1068250
British Columbia,TERRACE PCC,1068131
British Columbia,PRINCE RUPERT MONT CIRC,1066488
British Columbia,MCINNES ISLAND,1065010
British Columbia,LUCY ISLAND LIGHTSTATION,1064728
British Columbia,KITIMAT 2,1064321
British Columbia,KITIMAT TOWNSITE,1064320
British Columbia,KEMANO,1064020
British Columbia,IVORY ISLAND,1063690
British Columbia,HERBERT ISLAND (AUT),1063461
British Columbia,GREY ISLET (AUT),1063303
British Columbia,GREEN ISLAND,1063298
British Columbia,EGG ISLAND,1062646
British Columbia,DRYAD POINT,1062544
British Columbia,CUMSHEWA ISLAND,1062251
British Columbia,CATHEDRAL POINT (AUT),1061458
British Columbia,BONILLA ISLAND (AUT),1060R0K
British Columbia,BONILLA ISLAND,1060902
British Columbia,BOAT BLUFF,1060901
British Columbia,ADDENBROKE ISLAND,1060080
British Columbia,ROSE SPIT (AUT),1056869
British Columbia,KINDAKUN ROCKS (AUT),1054222
British Columbia,CAPE ST JAMES,1051351
British Columbia,WHISTLER,1048898
British Columbia,SQUAMISH AIRPORT,10476F0
British Columbia,POWELL RIVER A,1046391
British Columbia,PENDER HARBOUR,1046115
British Columbia,HOWE SOUND - PAM ROCKS,10459NN
British Columbia,MERRY ISLAND LIGHTSTATION,1045100
British Columbia,GIBSONS GOWER POINT,1043152
British Columbia,BOWEN ISLAND SUNSET PARK,104091B
British Columbia,UCLUELET KENNEDY CAMP,1038332
British Columbia,TOFINO A,1038205
British Columbia,TAHSIS VILLAGE NORTH,1037899
British Columbia,SOLANDER ISLAND (AUT),1037553
British Columbia,SARTINE ISLAND (AUT),1037090
British Columbia,PORT ALBERNI (AUT),1036B06
British Columbia,QUATSINO LIGHTSTATION,1036572
British Columbia,QUATSINO,1036570
British Columbia,PACHENA POINT,1035940
British Columbia,NOOTKA LIGHTSTATION,1035614
British Columbia,NITINAT RIVER HATCHERY,1035612
British Columbia,LENNARD ISLAND,1034600
British Columbia,ESTEVAN POINT CS,1032731
British Columbia,ESTEVAN POINT,1032730
British Columbia,CAPE BEALE LIGHT,1031316
British Columbia,ALBERNI ROBERTSON CREEK,1030230
British Columbia,ENTRANCE ISLAND,102BFHH
British Columbia,SISTERS ISLAND,1027403
British Columbia,QUINSAM RIVER HATCHERY,1026639
British Columbia,QUALICUM R FISH RESEARCH,1026565
British Columbia,NANAIMO CITY YARD,10253G0
British Columbia,LITTLE QUALICUM HATCHERY,1024638
British Columbia,HERIOT BAY SE,1023462
British Columbia,ENTRANCE ISLAND,1022689
British Columbia,COURTENAY PUNTLEDGE,1021989
British Columbia,COMOX A,1021830
British Columbia,CHATHAM POINT,1021480
British Columbia,CAPE MUDGE,1021330
British Columbia,CAMPBELL RIVER A,1021261
British Columbia,BALLENAS ISLAND,1020590
British Columbia,VICTORIA GONZALES CS,1018611
British Columbia,VICTORIA UNIVERSITY CS,1018598
British Columbia,SHERINGHAM POINT,1017254
British Columbia,SHAWNIGAN LAKE,1017230
British Columbia,SATURNA CAPMON CS,1017099
British Columbia,SAANICHTON MT NEWTON,1016RM0
British Columbia,SALTSPRING ST MARY'S L,1016995
British Columbia,SAANICHTON CDA,1016940
British Columbia,PORT RENFREW,1016335
British Columbia,NORTH PENDER ISLAND,1015638
British Columbia,NORTH COWICHAN,1015628
British Columbia,METCHOSIN,1015105
British Columbia,MALAHAT,1014820
British Columbia,ESQUIMALT HARBOUR,1012710
British Columbia,DISCOVERY ISLAND,1012475
British Columbia,LAKE COWICHAN,1012055
British Columbia,CHEMAINUS,1011500
